URL|TITLE|CURRENCY|AMOUNT ASKED|AMOUNT RECEIVED|BACKERS|AVG AMOUNT|DAYS LEFT|LOCATION|CATEGORY|NUMBER OF WORDS|NUMBER OF PICS|NUMBER OF VIDEOS|NUMBER OF COMMENTS|NUMBER OF UPDATES|NUMBER OF REWARDS|AMOUNT OF REWARDS|NUMBER OF WORDS OF REWARDS
https://fondeadora.mx/projects/chucho-reyes|Conservación de la Colección “Chucho” Reyes, Casa Barragán|MXN|225000|225802|81|2787|0|México, D.F.|Art|449|0|1|5|0|11|100.0 MXN, 200.0 MXN, 300.0 MXN, 500.0 MXN, 700.0 MXN, 1000.0 MXN, 3000.0 MXN, 5000.0 MXN, 5000.0 MXN, 10000.0 MXN, 15000.0 MXN|15, 14, 13, 41, 24, 30, 46, 34, 29, 40, 40
https://fondeadora.mx/projects/ficunam-festival-internacional-de-cine-unam|FICUNAM - Festival Internacional de Cine UNAM|MXN|150000|150050|90|1667|0|México, D.F.|Film and Video|267|0|1|1|0|5|150.0 MXN, 250.0 MXN, 500.0 MXN, 1000.0 MXN, 2000.0 MXN|27, 36, 33, 43, 71
https://fondeadora.mx/projects/abrir-puertas-y-dejar-de-ser-fantasmas-opening-doors-no-longer-shadows|Abrir Puertas y Dejar de Ser Fantasmas|MXN|100000|114020|152|750|0|México, D.F.|Editorial and Literary|1|0|1|0|0|6|100.0 MXN, 250.0 MXN, 500.0 MXN, 1000.0 MXN, 3000.0 MXN, 5000.0 MXN|34, 47, 46, 56, 113, 140
https://fondeadora.mx/projects/adios-carlota|Adiós Carlota|MXN|90000|94300|70|1347|0|Cuernavaca, Mor.|Theater|523|0|1|7|0|10|100.0 MXN, 300.0 MXN, 500.0 MXN, 750.0 MXN, 1000.0 MXN, 1250.0 MXN, 1500.0 MXN, 2000.0 MXN, 2750.0 MXN, 3000.0 MXN|14, 21, 26, 40, 58, 71, 92, 113, 119, 144
https://fondeadora.mx/projects/la-nueva-loteria|La Nueva Lotería|MXN|90000|91900|65|1413|0|Querétaro, Qro.|Art|437|0|1|13|0|8|100.0 MXN, 200.0 MXN, 500.0 MXN, 800.0 MXN, 1000.0 MXN, 2500.0 MXN, 6000.0 MXN, 8000.0 MXN|26, 35, 77, 83, 113, 142, 209, 79
https://fondeadora.mx/projects/sala-publica|Sala Pública|MXN|90000|90260|20|4513|0|México, D.F.|Art|404|0|1|2|1|5|100.0 MXN, 250.0 MXN, 500.0 MXN, 1000.0 MXN, 10000.0 MXN|33, 25, 55, 24, 24
https://fondeadora.mx/projects/la-fabrica-del-sentido-expresiones|La Fabrica del Sentido - Expresiones|MXN|85000|85000|10|8500|0|México, D.F.|Editorial and Literary|360|0|1|0|0|5|100.0 MXN, 300.0 MXN, 460.0 MXN, 560.0 MXN, 1000.0 MXN|10, 20, 30, 35, 52
https://fondeadora.mx/projects/transborda-al-universo-en-el-metro|TRANSBORDA AL UNIVERSO EN EL METRO|MXN|80000|88318|86|1026|0|México, D.F.|Art|329|0|1|19|0|5|200.0 MXN, 500.0 MXN, 1000.0 MXN, 2500.0 MXN, 5000.0 MXN|24, 33, 43, 70, 87
https://fondeadora.mx/projects/flamenco-a-la-mexicana|Flamenco a la mexicana|MXN|76000|87251|60|1454|0|México, D.F.|Film and Video|629|0|1|0|7|5|250.0 MXN, 500.0 MXN, 1000.0 MXN, 3000.0 MXN, 5000.0 MXN|47, 43, 24, 69, 52
https://fondeadora.mx/projects/la-doncella-ponzoñosa|La Doncella Ponzoñosa|MXN|70000|73050|61|1197|0|México, D.F.|Theater|582|0|1|0|3|11|200.0 MXN, 350.0 MXN, 500.0 MXN, 750.0 MXN, 1000.0 MXN, 1500.0 MXN, 2000.0 MXN, 2500.0 MXN, 3000.0 MXN, 5000.0 MXN, 10000.0 MXN|28, 39, 30, 36, 36, 27, 52, 42, 47, 33, 24
https://fondeadora.mx/projects/contra-posicion|(contra) POSICIÓN|MXN|60000|61759|16|3859|0|México, D.F.|Architecture|314|0|1|1|0|6|150.0 MXN, 250.0 MXN, 500.0 MXN, 750.0 MXN, 1500.0 MXN, 3000.0 MXN|23, 41, 27, 57, 43, 30
https://fondeadora.mx/projects/identita-transitorie|IDENTITÁ TRANSITORIE|MXN|60000|60720|65|934|0|México, D.F.|Art|666|11|1|2|3|13|100.0 MXN, 200.0 MXN, 400.0 MXN, 600.0 MXN, 1000.0 MXN, 2000.0 MXN, 3000.0 MXN, 4000.0 MXN, 5000.0 MXN, 7000.0 MXN, 10000.0 MXN, 20000.0 MXN, 60000.0 MXN|26, 28, 27, 28, 26, 33, 24, 24, 27, 30, 33, 30, 24
https://fondeadora.mx/projects/medea-material|Medea Material|MXN|35000|53710|31|1732|0|México, D.F.|Theater|216|0|1|0|0|9|200.0 MXN, 500.0 MXN, 1000.0 MXN, 2500.0 MXN, 5000.0 MXN, 10000.0 MXN, 15000.0 MXN, 25000.0 MXN, 50000.0 MXN|23, 27, 19, 38, 25, 42, 24, 24, 43
https://fondeadora.mx/projects/sobre-las-huellas|Sobre las Huellas|MXN|50000|51005|27|1889|0|México, D.F.|Art|413|0|1|4|0|6|300.0 MXN, 600.0 MXN, 1000.0 MXN, 2000.0 MXN, 3000.0 MXN, 4500.0 MXN|24, 25, 25, 34, 34, 47
https://fondeadora.mx/projects/futuras-ruinas|Futuras Ruinas|MXN|45000|45900|17|2700|0|Ciudad De México|Art|471|0|1|1|0|4|500.0 MXN, 2000.0 MXN, 7000.0 MXN, 60000.0 MXN|16, 12, 16, 19
https://fondeadora.mx/projects/paisajes-oniricos|Paisajes Oníricos.|MXN|42000|42000|36|1166|0|México, D.F.|Art|357|1|1|0|6|8|100.0 MXN, 200.0 MXN, 300.0 MXN, 500.0 MXN, 1000.0 MXN, 2000.0 MXN, 3000.0 MXN, 4000.0 MXN|27, 39, 50, 71, 96, 119, 143, 188
https://fondeadora.mx/projects/tribus|Tribus|MXN|40000|40000|19|2105|0|México, D.F.|Theater|1385|0|1|0|0|8|100.0 MXN, 250.0 MXN, 500.0 MXN, 750.0 MXN, 1000.0 MXN, 1500.0 MXN, 3000.0 MXN, 5000.0 MXN|30, 36, 22, 31, 37, 36, 39, 44
https://fondeadora.mx/projects/mujeres-en-el-aire|Mujeres en el Aire|MXN|37000|37000|6|6166|0|México, D.F.|Theater|1|0|1|0|0|9|200.0 MXN, 250.0 MXN, 500.0 MXN, 1000.0 MXN, 1500.0 MXN, 2000.0 MXN, 2500.0 MXN, 3000.0 MXN, 5000.0 MXN|34, 37, 65, 34, 43, 27, 65, 83, 77
https://fondeadora.mx/projects/padres-madres-hijos-e-hijas|PADRES, MADRES, HIJOS E HIJAS|MXN|30000|36421|45|809|0|Edo. De Méx, Mex.|Theater|394|0|1|7|0|8|100.0 MXN, 250.0 MXN, 500.0 MXN, 1000.0 MXN, 3000.0 MXN, 5000.0 MXN, 10000.0 MXN, 15000.0 MXN|9, 13, 13, 18, 30, 38, 43, 62
https://fondeadora.mx/projects/mano-a-mano|18ª. Feria Independiente de Diseño Mano a Mano, Tercer aniversario.|MXN|30000|36100|32|1128|0|México, D.F.|Culture|674|0|1|0|0|11|100.0 MXN, 250.0 MXN, 350.0 MXN, 500.0 MXN, 750.0 MXN, 1000.0 MXN, 1500.0 MXN, 2000.0 MXN, 2500.0 MXN, 5000.0 MXN, 8000.0 MXN|50, 54, 51, 51, 78, 59, 60, 72, 71, 89, 123
https://fondeadora.mx/projects/las-ninas-no-deberian-jugar-futbol|Las niñas no deberían jugar fútbol|MXN|32500|34660|30|1155|0|Guadalajara, Jal.|Theater|544|0|1|0|2|11|100.0 MXN, 250.0 MXN, 600.0 MXN, 1000.0 MXN, 1300.0 MXN, 1600.0 MXN, 2000.0 MXN, 2500.0 MXN, 3000.0 MXN, 5000.0 MXN, 10000.0 MXN|38, 36, 34, 31, 27, 33, 49, 54, 91, 60, 67
