URL|TITLE|CURRENCY|AMOUNT ASKED|AMOUNT RECEIVED|BACKERS|AVG AMOUNT|DAYS LEFT|LOCATION|CATEGORY|NUMBER OF WORDS|NUMBER OF PICS|NUMBER OF VIDEOS|NUMBER OF COMMENTS|NUMBER OF UPDATES|NUMBER OF REWARDS|AMOUNT OF REWARDS|NUMBER OF WORDS OF REWARDS
https://www.kickstarter.com/projects/jamesreads/the-prisma-visions-tarot|The Prisma Visions Tarot by James R. Eads|usd|14,125|79,206|1|79206|0|Los Angeles, CA|Illustration|1421|16|1|177|21|21|$1.00 USD, $25 USD, $37 USD, $39 USD, $41 USD, $43 USD, $45 USD, $49 USD, $50 USD, $75 USD, $80 USD, $85 USD, $95 USD, $100 USD, $145 USD, $150 USD, $170 USD, $175 USD, $200 USD, $275 USD, $350 USD|17, 37, 38, 30, 30, 30, 29, 46, 37, 37, 64, 31, 42, 19, 46, 52, 84, 52, 62, 66, 96
https://www.kickstarter.com/projects/1959895010/in-search-of-the-truth-the-truth-booth-us-tour|In Search of the Truth - The Truth Booth U.S. Tour by Hank Willis Thomas|usd|75,000|80,628|434|185|0|Brooklyn, NY|Mixed Media|1506|14|1|5|13|20|$1.00 USD, $15 USD, $25 USD, $35 USD, $50 USD, $50 USD, $50 USD, $75 USD, $175 USD, $200 USD, $250 USD, $500 USD, $1,000 USD, $2,500 USD, $5,000 USD, $5,000 USD, $10,000 USD, $10,000 USD, $10,000 USD, $10,000 USD|14, 23, 54, 33, 38, 82, 41, 56, 125, 63, 75, 179, 30, 65, 62, 78, 108, 64, 58, 107
https://www.kickstarter.com/projects/simplescott/designing-obama|Designing Obama by Scott Thomas|usd|65,000|84,613|1|84613|0|Chicago, IL|Art|141|0|1|150|19|4|$10 USD, $50 USD, $100 USD, $150 USD|16, 27, 24, 24
https://www.kickstarter.com/projects/1694465216/nyumbu-uhamiaji|NYUMBU UHAMIAJI by JAY MARK JOHNSON|usd|57,969|85,707|62|1382|0|Santa Monica, CA|Art|2226|30|1|0|9|14|$5 USD, $10 USD, $20 USD, $30 USD, $50 USD, $75 USD, $100 USD, $150 USD, $200 USD, $350 USD, $750 USD, $1,000 USD, $2,500 USD, $7,500 USD|9, 22, 36, 43, 62, 53, 74, 95, 94, 95, 116, 116, 119, 129





https://www.kickstarter.com/projects/865598201/salem-book-and-show-by-damien-echols-menton3-david|SALEM book & show by Damien Echols, menton3, David Stoupakis by THE HAND|usd|16,200|103,202|883|116|0|New York, NY|Art|1687|19|1|90|9|41|$1.00 USD, $10 USD, $18 USD, $20 USD, $25 USD, $35 USD, $45 USD, $46 USD, $47 USD, $55 USD, $60 USD, $65 USD, $80 USD, $100 USD, $100 USD, $120 USD, $125 USD, $130 USD, $135 USD, $135 USD, $145 USD, $200 USD, $300 USD, $320 USD, $320 USD, $325 USD, $360 USD, $400 USD, $1,000 USD, $1,000 USD, $2,000 USD, $2,000 USD, $2,500 USD, $2,500 USD, $3,500 USD, $3,500 USD, $4,000 USD, $4,000 USD, $6,000 USD, $7,000 USD, $10,000 USD|15, 8, 28, 16, 16, 11, 22, 12, 12, 31, 29, 24, 28, 23, 21, 29, 63, 16, 35, 33, 63, 58, 30, 31, 31, 28, 31, 27, 115, 116, 116, 99, 99, 100, 99, 100, 99, 100, 122, 100, 100
